iter	Passed	Remaining
1201	6323	46287
1202	6329	46283
1203	6334	46280
1204	6340	46275
1205	6344	46264
1206	6350	46263
1207	6355	46256
1208	6359	46244
1209	6364	46235
1210	6369	46230
1211	6375	46230
1212	6379	46213
1213	6384	46206
1214	6389	46200
1215	6394	46188
1216	6398	46181
1217	6404	46175
1218	6408	46166
1219	6414	46164
1220	6420	46163
1221	6424	46152
1222	6431	46153
1223	6435	46142
1224	6441	46139
1225	6445	46130
1226	6451	46129
1227	6456	46118
1228	6461	46116
1229	6468	46117
1230	6473	46117
1231	6479	46115
1232	6484	46110
1233	6490	46104
1234	6494	46094
1235	6500	46094
1236	6507	46097
1237	6512	46089
1238	6518	46094
1239	6525	46096
1240	6530	46092
1241	6536	46092
1242	6541	46088
1243	6548	46090
1244	6553	46086
1245	6558	46078
1246	6569	46110
1247	6580	46150
1248	6588	46163
1249	6594	46163
1250	6605	46193
1251	6613	46210
1252	6621	46223
1253	6627	46225
1254	6636	46241
1255	6641	46238
1256	6647	46238
1257	6653	46236
1258	6660	46244
1259	6665	46237
1260	6672	46240
1261	6678	46239
1262	6682	46224
1263	6687	46219
1264	6692	46212
1265	6697	46204
1266	6703	46203
1267	6708	46195
1268	6714	46194
1269	6721	46200
1270	6725	46192
1271	6730	46185
1272	6735	46174
1273	6741	46171
1274	6746	46164
1275	6751	46157
1276	6756	46149
1277	6761	46143
1278	6764	46126
1279	6771	46130
1280	6776	46124
1281	6781	46113
1282	6787	46112
1283	6792	46109
1284	6798	46108
1285	6804	46105
1286	6809	46099
1287	6814	46093
1288	6820	46091
1289	6824	46079
1290	6830	46076
1291	6835	46072
1292	6841	46071
1293	6847	46066
1294	6851	46057
1295	6856	46050
1296	6861	46039
1297	6865	46027
1298	6869	46010
1299	6873	45998
1300	6879	45997
1301	6882	45980
1302	6887	45968
1303	6893	45968
1304	6899	45971
1305	6904	45961
1306	6909	45957
1307	6914	45947
1308	6919	45938
1309	6926	45944
1310	6931	45938
1311	6935	45929
1312	6940	45919
1313	6946	45916
1314	6952	45918
1315	6957	45910
1316	6963	45910
1317	6968	45904
1318	6973	45898
1319	6978	45886
1320	6984	45885
1321	6989	45877
1322	6994	45873
1323	6999	45866
1324	7004	45862
1325	7010	45857
1326	7014	45846
1327	7019	45840
1328	7025	45836
1329	7030	45828
1330	7035	45820
1331	7040	45816
1332	7045	45806
1333	7050	45803
1334	7055	45793
1335	7058	45776
1336	7064	45776
1337	7071	45777
1338	7075	45768
1339	7081	45763
1340	7085	45755
1341	7091	45750
1342	7096	45745
1343	7100	45730
1344	7107	45737
1345	7112	45727
1346	7119	45732
1347	7123	45723
1348	7127	45709
1349	7132	45699
1350	7137	45692
1351	7141	45681
1352	7147	45680
1353	7152	45671
1354	7157	45668
1355	7163	45666
1356	7170	45667
1357	7175	45665
1358	7181	45661
1359	7186	45657
1360	7192	45652
1361	7197	45647
1362	7203	45646
1363	7208	45640
1364	7214	45637
1365	7220	45638
1366	7226	45639
1367	7233	45643
1368	7238	45636
1369	7244	45633
1370	7248	45622
1371	7253	45611
1372	7257	45603
1373	7263	45599
1374	7268	45594
1375	7273	45584
1376	7278	45578
1377	7283	45570
1378	7287	45557
1379	7292	45551
1380	7298	45549
1381	7303	45546
1382	7309	45542
1383	7314	45534
1384	7319	45527
1385	7323	45513
1386	7329	45514
1387	7335	45516
1388	7340	45505
1389	7345	45500
1390	7352	45503
1391	7356	45489
1392	7361	45484
1393	7365	45472
1394	7372	45474
1395	7376	45461
1396	7381	45454
1397	7386	45449
1398	7391	45444
1399	7397	45439
1400	7401	45431
1401	7406	45422
1402	7411	45414
1403	7417	45412
1404	7422	45404
1405	7426	45393
1406	7430	45382
1407	7437	45383
1408	7442	45380
1409	7448	45378
1410	7454	45375
1411	7459	45371
1412	7464	45364
1413	7468	45352
1414	7473	45344
1415	7478	45338
1416	7483	45330
1417	7488	45323
1418	7494	45318
1419	7497	45303
1420	7503	45298
1421	7509	45298
1422	7512	45282
1423	7517	45275
1424	7523	45271
1425	7528	45266
1426	7534	45262
1427	7538	45251
1428	7544	45250
1429	7549	45244
1430	7554	45239
1431	7558	45224
1432	7564	45222
1433	7571	45227
1434	7576	45223
1435	7580	45209
1436	7585	45204
1437	7591	45201
1438	7596	45191
1439	7601	45183
1440	7606	45180
1441	7611	45174
1442	7617	45169
1443	7623	45168
1444	7628	45163
1445	7633	45158
1446	7638	45147
1447	7643	45142
1448	7648	45138
1449	7653	45129
1450	7658	45122
1451	7663	45115
1452	7669	45114
1453	7675	45111
1454	7679	45102
1455	7685	45098
1456	7691	45097
1457	7695	45088
1458	7701	45086
1459	7707	45084
1460	7712	45074
1461	7716	45063
1462	7722	45062
1463	7728	45059
1464	7732	45047
1465	7736	45038
1466	7742	45035
1467	7747	45029
1468	7752	45020
1469	7756	45009
1470	7761	45004
1471	7767	45000
1472	7771	44989
1473	7775	44973
1474	7780	44968
1475	7784	44957
1476	7789	44951
1477	7796	44953
1478	7801	44947
1479	7806	44941
1480	7812	44938
1481	7817	44932
1482	7822	44923
1483	7828	44922
1484	7833	44918
1485	7839	44917
1486	7844	44910
1487	7852	44919
1488	7857	44913
1489	7863	44908
1490	7867	44901
1491	7873	44895
1492	7878	44892
1493	7882	44879
1494	7887	44872
1495	7892	44865
1496	7898	44861
1497	7902	44852
1498	7908	44850
1499	7914	44848
1500	7920	44845
1501	7923	44830
1502	7928	44825
1503	7934	44824
1504	7941	44823
1505	7944	44809
1506	7950	44806
1507	7954	44796
1508	7958	44779
1509	7962	44770
1510	7967	44764
1511	7974	44765
1512	7978	44755
1513	7984	44752
1514	7987	44737
1515	7992	44729
1516	7997	44719
1517	8001	44709
1518	8006	44704
1519	8011	44694
1520	8017	44692
1521	8022	44685
1522	8026	44673
1523	8029	44657
1524	8036	44661
1525	8042	44658
1526	8046	44650
1527	8053	44651
1528	8058	44644
1529	8063	44636
1530	8069	44636
1531	8072	44620
1532	8076	44607
1533	8083	44609
1534	8086	44595
1535	8092	44593
1536	8097	44588
1537	8103	44585
1538	8109	44583
1539	8114	44578
1540	8121	44579
1541	8126	44574
1542	8131	44569
1543	8135	44556
1544	8141	44554
1545	8146	44545
1546	8153	44553
1547	8159	44550
1548	8163	44539
1549	8168	44531
1550	8174	44531
1551	8179	44522
1552	8184	44519
1553	8190	44515
1554	8195	44509
1555	8199	44497
1556	8204	44489
1557	8210	44486
1558	8215	44482
1559	8221	44480
1560	8225	44468
1561	8229	44457
1562	8234	44448
1563	8239	44441
1564	8244	44436
1565	8249	44431
1566	8256	44431
1567	8261	44425
1568	8265	44416
1569	8270	44409
1570	8276	44405
1571	8281	44397
1572	8286	44394
1573	8293	44394
1574	8298	44391
1575	8304	44388
1576	8309	44384
1577	8313	44371
1578	8319	44367
1579	8324	44364
1580	8329	44355
1581	8333	44344
1582	8338	44338
1583	8344	44335
1584	8351	44337
1585	8355	44329
1586	8360	44320
1587	8366	44321
1588	8371	44310
1589	8377	44309
1590	8380	44296
1591	8385	44287
1592	8390	44282
1593	8396	44280
1594	8400	44265
1595	8405	44262
1596	8411	44260
1597	8415	44246
1598	8421	44247
1599	8425	44234
1600	8430	44225
1601	8434	44216
1602	8439	44207
1603	8444	44201
1604	8447	44184
1605	8453	44184
1606	8459	44180
1607	8463	44169
1608	8469	44166
1609	8474	44160
1610	8478	44149
1611	8483	44141
1612	8488	44136
1613	8494	44134
1614	8499	44127
1615	8502	44112
1616	8507	44103
1617	8512	44098
1618	8517	44090
1619	8521	44078
1620	8525	44070
1621	8531	44065
1622	8536	44061
1623	8542	44059
1624	8547	44053
1625	8550	44035
1626	8555	44029
1627	8560	44022
1628	8565	44017
1629	8570	44010
1630	8576	44006
1631	8581	44002
1632	8588	44002
1633	8593	43999
1634	8598	43992
1635	8602	43981
1636	8606	43969
1637	8611	43960
1638	8615	43951
1639	8620	43941
1640	8625	43934
1641	8631	43935
1642	8637	43933
1643	8642	43929
1644	8646	43914
1645	8648	43895
1646	8652	43884
1647	8657	43875
1648	8662	43870
1649	8668	43867
1650	8674	43863
1651	8681	43871
1652	8686	43861
1653	8690	43853
1654	8696	43851
1655	8701	43844
1656	8706	43837
1657	8710	43828
1658	8716	43823
1659	8722	43820
1660	8724	43801
1661	8727	43787
1662	8733	43784
1663	8739	43783
1664	8744	43774
1665	8748	43763
1666	8753	43757
1667	8758	43751
1668	8761	43733
1669	8767	43732
1670	8772	43725
1671	8776	43712
1672	8780	43704
1673	8785	43698
1674	8791	43692
1675	8795	43683
1676	8798	43668
1677	8805	43669
1678	8811	43670
1679	8816	43660
1680	8821	43656
